VCD info: dumpfile sim/i2c_simulation.vcd opened for output.
[I2C Testbench] Iniciando simulación...
Time=0 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=0 | RegAddr=00 S_Shift=00000000
Time=56530 ns | SDA=0 SCL=0 | M_State=0 S_State=6 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=1 | RegAddr=20 S_Shift=10100101
Time=56550 ns | SDA=1 SCL=0 | M_State=0 S_State=5 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=1 | RegAddr=21 S_Shift=10100101
[OK] Dato 8'hA5 enviado correctamente.
Time=56600 ns | SDA=1 SCL=0 | M_State=0 S_State=5 | cmd_valid=1 cmd_ready=1 busy=0 bus_active=1 | RegAddr=21 S_Shift=10100101
Time=56610 ns | SDA=1 SCL=0 | M_State=8 S_State=5 | cmd_valid=1 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=10100101
Time=56620 ns | SDA=1 SCL=0 | M_State=8 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=10100101
Time=57110 ns | SDA=0 SCL=0 | M_State=8 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=10100101
Time=57610 ns | SDA=0 SCL=1 | M_State=8 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=10100101
Time=57650 ns | SDA=0 SCL=1 | M_State=8 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=01001010
Time=58110 ns | SDA=1 SCL=1 | M_State=8 S_State=5 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=01001010
Time=58150 ns | SDA=1 SCL=1 | M_State=8 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=01001010
Time=58610 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=0 | RegAddr=21 S_Shift=01001010
Time=58630 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=0 cmd_ready=1 busy=0 bus_active=0 | RegAddr=21 S_Shift=01001010
[OK] Condición STOP generada. Escritura finalizada.

--- Iniciando Transacción 2: Lectura Aleatoria (Random Read de Reg 8'h20) ---
Time=59700 ns | SDA=1 SCL=1 | M_State=0 S_State=0 | cmd_valid=1 cmd_ready=1 busy=0 bus_active=0 | RegAddr=21 S_Shift=01001010
Time=59710 ns | SDA=1 SCL=1 | M_State=1 S_State=0 | cmd_valid=1 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
Time=59720 ns | SDA=1 SCL=1 | M_State=1 S_State=0 | cmd_valid=0 cmd_ready=0 busy=1 bus_active=1 | RegAddr=21 S_Shift=01001010
